dataset,model,chunk_size,retriever,recall_at_3,em,distraction_gap
triviaqa,Phi-3.5-mini,512,bm25,0.6967,0.4833,0.2134
triviaqa,Phi-3.5-mini,512,faiss,0.8133,0.49,0.3233
triviaqa,Qwen3-0.6B,128,bm25,0.49,0.2267,0.2633
triviaqa,Qwen3-0.6B,128,faiss,0.7033,0.35,0.3533
triviaqa,Qwen3-0.6B,256,bm25,0.5933,0.2767,0.3166
triviaqa,Qwen3-0.6B,256,faiss,0.7633,0.36,0.4033
triviaqa,Qwen3-0.6B,512,bm25,0.6967,0.3167,0.38
triviaqa,Qwen3-0.6B,512,faiss,0.8133,0.37,0.4433
triviaqa,Qwen3-1.7B,128,bm25,0.49,0.3167,0.1733
triviaqa,Qwen3-1.7B,128,faiss,0.7033,0.4267,0.2766
triviaqa,Qwen3-1.7B,256,bm25,0.5933,0.3633,0.23
triviaqa,Qwen3-1.7B,256,faiss,0.7633,0.46,0.3033
triviaqa,Qwen3-1.7B,512,bm25,0.6967,0.3967,0.3
triviaqa,Qwen3-1.7B,512,faiss,0.8133,0.4533,0.36
triviaqa,SmolLM2-360M,128,bm25,0.49,0.0133,0.4767
triviaqa,SmolLM2-360M,128,faiss,0.7033,0.0367,0.6666
triviaqa,SmolLM2-360M,256,bm25,0.5933,0.0267,0.5666
triviaqa,SmolLM2-360M,256,faiss,0.7633,0.0467,0.7166
triviaqa,SmolLM2-360M,512,bm25,0.6967,0.0433,0.6534
triviaqa,SmolLM2-360M,512,faiss,0.8133,0.0367,0.7766
